Event Type,Sponsor Types,Sponsor Costs,Expected Footfall,Budget,Total Revenue,ROI
Community and Charity events,Financial|Financial,99032.87|177112.63,3709,173663.02,273856.27,57.69
Entertainment and media events,Media Sponsorship|Merchandise|Food Stalls,31532.63|46808.23|29292.7,17594,91210.6,117482.25,28.8
Entertainment and media events,Philanthropy,49312.08,22847,41382.43,67996.18,64.31
Festivals and fairs,Merchandise|Food Stalls|Philanthropy|Philanthropy|In Kind,18724.29|16285.14|84454.39|99187.28|69630.25,59659,196310.8,303377.04,54.54
Conferences and seminars,Food Stalls|Food Stalls|Merchandise|Merchandise|Food Stalls,3660.18|4314.9|39305.27|17907.74|17331.35,1106,72370.61,95155.51,31.48
Festivals and fairs,Merchandise|In Kind|Food Stalls|Merchandise|Media Sponsorship,983.01|30837.62|19149.57|3009.34|62892.51,18204,84515.88,143354.51,69.62
Festivals and fairs,Influencer|Merchandise|In Kind|Food Stalls|Financial,52451.2|21540.76|34643.54|27026.98|88784.2,61031,141120.27,157880.44,11.88
Entertainment and media events,Media Sponsorship,16692.24,29794,14177.49,19474.75,37.36
Conferences and seminars,Merchandise|In Kind|In Kind|Food Stalls,6524.01|14085.78|95176.51|9354.33,4239,105040.2,162296.18,54.51
Entertainment and media events,Philanthropy,2245.79,7219,1931.16,3379.09,74.98
Conferences and seminars,In Kind|Financial|Merchandise|Financial|Media Sponsorship,74132.23|194139.37|15568.52|25776.05|17965.49,1392,211308.16,354434.26,67.73
Conferences and seminars,Philanthropy|Philanthropy|Philanthropy,28038.18|60834.31|60146.89,1576,107283.73,164770.04,53.58
Community and Charity events,Media Sponsorship|Media Sponsorship|Media Sponsorship|Media Sponsorship,14780.31|89059.94|11051.56|70458.39,4080,147715.96,178358.94,20.74
Entertainment and media events,Philanthropy,71657.28,45376,43411.7,84333.16,94.26
Conferences and seminars,Influencer|Influencer|Financial|Merchandise,14691.77|68697.31|152156.8|15632.6,4126,212075.12,334619.69,57.78
Entertainment and media events,In Kind|Philanthropy,52912.11|58296.02,12770,93600.34,167543.44,79.0
Virtual event,Financial|Philanthropy,136221.89|73349.66,7086,146840.73,226680.11,54.37
Conferences and seminars,Merchandise,19625.57,4064,13853.19,23043.7,66.34
Sports events,Financial|Philanthropy|Philanthropy|Influencer,10330.16|76626.61|52351.49|79696.81,59498,161271.49,221334.11,37.24
Conferences and seminars,Influencer|In Kind,25060.11|34057.43,3522,52452.37,60736.29,15.79
Virtual event,Financial|Merchandise|Philanthropy|Influencer|Merchandise,152938.83|40360.99|95052.82|55752.74|31637.57,6046,301601.25,426991.46,41.57
Sports events,Food Stalls|Financial|Food Stalls|Influencer,16660.72|30491.3|22352.56|43928.53,11538,75563.79,110582.4,46.34
Festivals and fairs,Food Stalls,25189.76,57309,16042.23,23566.02,46.9
Festivals and fairs,Merchandise|Media Sponsorship,34678.37|2884.54,56927,27986.23,50102.68,79.03
Virtual event,In Kind|Merchandise,27894.34|27472.04,9637,43783.82,70703.91,61.48
Festivals and fairs,Financial|Merchandise,186009.08|37885.38,4524,168145.04,199518.76,18.66
Festivals and fairs,Merchandise|Media Sponsorship,27126.95|8719.16,57085,25870.67,32478.55,25.54
Virtual event,Merchandise|Merchandise,34123.78|27148.19,6890,36893.48,69632.67,88.74
Entertainment and media events,Philanthropy|Media Sponsorship|Food Stalls,88781.16|30525.98|12809.47,48294,96407.42,108407.9,12.45
Festivals and fairs,Merchandise,43056.98,37835,38317.76,63002.72,64.42
Community and Charity events,Influencer|Philanthropy|Food Stalls|Philanthropy,80026.01|84122.74|12653.77|40619.91,1333,144879.66,163002.89,12.51
Sports events,Food Stalls|Influencer,32622.85|7596.89,31865,31277.69,38251.77,22.3
Virtual event,Media Sponsorship|Financial,79442.8|139223.2,2875,183995.58,282466.06,53.52
Sports events,Philanthropy|Food Stalls|Philanthropy|Food Stalls|In Kind,57064.97|26621.46|82663.05|46968.21|80098.67,61923,193349.56,335279.03,73.41
Festivals and fairs,Financial,195136.12,48409,138069.73,171402.82,24.14
Festivals and fairs,Merchandise|Food Stalls|Food Stalls|Merchandise,7734.03|44827.13|30233.22|1895.56,46924,65801.48,122202.17,85.71
Conferences and seminars,In Kind|In Kind|In Kind,53938.54|99228.36|81077.63,1724,177687.49,200632.99,12.91
Sports events,Philanthropy|Merchandise|In Kind|Influencer,62975.42|7833.19|71136.81|19201.14,75397,102097.43,150939.3,47.84
Sports events,Philanthropy|Merchandise|Food Stalls,79178.63|8787.81|39468.61,64403,106058.07,118486.29,11.72
Festivals and fairs,Media Sponsorship|Media Sponsorship|Financial|Media Sponsorship,87589.43|20328.09|48922.82|96767.51,11060,191381.75,270291.72,41.23
Festivals and fairs,Food Stalls,38392.02,10062,23379.82,43171.63,84.65
Festivals and fairs,Financial,55086.72,96446,47877.93,82009.2,71.29
Conferences and seminars,Food Stalls|Influencer|In Kind,14972.57|49121.93|78055.55,4818,87246.16,130075.4,49.09
Sports events,Financial|Philanthropy|Media Sponsorship|Financial|Merchandise,146400.95|15821.44|62060.2|59113.72|39328.04,8158,198478.84,366544.04,84.68
Community and Charity events,Food Stalls|Media Sponsorship|Merchandise|Influencer,37642.45|65432.77|6347.92|40090.61,3799,127806.95,159810.54,25.04
Community and Charity events,In Kind,1374.12,2915,1162.92,2208.85,89.94
Entertainment and media events,Influencer|Media Sponsorship,62946.71|50825.65,37104,89830.53,106869.91,18.97
Festivals and fairs,In Kind,3331.52,54915,2280.71,3380.39,48.22
Virtual event,Merchandise,17536.81,3269,12718.64,14175.97,11.46
Sports events,Food Stalls|Influencer|Influencer|Influencer,48876.66|36918.76|30600.27|66810.78,2053,143034.52,280469.68,96.09
Sports events,Food Stalls,2966.33,65039,1915.78,2742.92,43.18
Festivals and fairs,Media Sponsorship|Food Stalls|Philanthropy|Philanthropy|Food Stalls,12828.2|4484.29|9922.31|84985.84|16284.2,47612,100616.05,191482.74,90.31
Festivals and fairs,Merchandise|Media Sponsorship,15732.13|7697.42,28305,15928.96,29893.33,87.67
Conferences and seminars,Philanthropy|Philanthropy|Media Sponsorship,11956.02|52404.81|80396.47,3572,106705.66,173183.71,62.3
Virtual event,Philanthropy,60868.57,6355,45197.38,53821.99,19.08
Festivals and fairs,In Kind|Financial|Influencer,79131.97|151577.25|64582.74,42592,243964.45,322696.89,32.27
Conferences and seminars,Media Sponsorship|Financial|Philanthropy|Influencer|Merchandise,54878.73|182641.7|65590.02|40407.76|9497.76,3650,218227.03,266069.46,21.92
Festivals and fairs,Media Sponsorship|Financial|Financial,94772.08|74339.09|72001.04,77932,187023.91,309428.79,65.45
Virtual event,Philanthropy,6681.71,9979,5545.89,6114.87,10.26
Conferences and seminars,Philanthropy|Philanthropy|In Kind|Philanthropy|In Kind,34004.95|92462.2|36053.68|45609.2|70260.12,4962,232928.97,331946.26,42.51
Community and Charity events,Media Sponsorship|Merchandise|Philanthropy|Media Sponsorship|Food Stalls,7192.62|5942.21|48298.83|15452.64|32479.96,3346,87420.92,158237.85,81.01
Sports events,Merchandise|Media Sponsorship|Food Stalls|Food Stalls,27484.15|46260.47|17042.74|26583.13,94681,102715.69,161711.33,57.44
Festivals and fairs,Influencer|Merchandise|Financial|Media Sponsorship|Merchandise,75712.8|31967.62|112834.13|98243.0|36345.9,45729,308769.98,406288.41,31.58
Sports events,Food Stalls,22377.48,16295,17410.3,27787.19,59.6
Community and Charity events,Media Sponsorship|Philanthropy|Food Stalls|Media Sponsorship,20964.9|58433.75|42463.81|88907.72,4543,180378.26,217223.87,20.43
Festivals and fairs,Philanthropy|Food Stalls|Philanthropy|Philanthropy|Financial,46992.32|6544.5|91858.29|90948.89|11906.95,27275,167221.64,227135.38,35.83
Sports events,Financial|Influencer,75732.92|42344.57,14428,102162.3,168745.24,65.17
Festivals and fairs,Media Sponsorship|Food Stalls|Merchandise|Influencer|Influencer,72627.27|3982.33|48391.42|92981.7|86778.26,35872,242395.49,332497.61,37.17
Conferences and seminars,In Kind|Influencer,52914.65|65979.89,839,99722.54,162458.97,62.91
Virtual event,In Kind|Media Sponsorship|Merchandise|In Kind|Media Sponsorship,71811.24|16910.12|48357.53|89712.48|28261.61,1620,224879.79,360435.4,60.28
Virtual event,In Kind|Financial,12269.61|120653.94,9344,118870.06,155708.08,30.99
Virtual event,Financial,139430.82,4624,93013.3,163952.13,76.27
Virtual event,Media Sponsorship|Philanthropy|In Kind|In Kind|Media Sponsorship,71392.92|53337.55|91426.89|87517.94|26946.6,7500,276015.12,399665.67,44.8
Festivals and fairs,Influencer|Food Stalls|Philanthropy|Merchandise|Merchandise,5178.39|795.58|25895.04|48852.25|26693.95,29240,72901.51,140807.16,93.15
Community and Charity events,Food Stalls,41072.33,999,30138.53,43169.83,43.24
Conferences and seminars,Influencer|Financial|Influencer,80191.75|124894.28|85406.54,2402,221660.29,358352.87,61.67
Virtual event,Financial|Merchandise|Media Sponsorship|Merchandise|Philanthropy,183900.8|39918.65|15661.51|9218.45|80921.92,4500,275861.77,485453.32,75.98
Conferences and seminars,Food Stalls|Influencer,19227.92|7051.88,2254,18224.89,34163.2,87.45
Virtual event,Philanthropy|Influencer|In Kind|Media Sponsorship|In Kind,13401.34|16355.37|10729.86|52488.92|90657.52,796,113396.25,177728.25,56.73
Entertainment and media events,Media Sponsorship|Influencer,76023.63|22253.16,4450,63912.9,121996.9,90.88
Sports events,Financial|Influencer|Philanthropy,182089.53|66928.93|32936.46,44706,200913.3,309633.07,54.11
Community and Charity events,Food Stalls|Media Sponsorship|Financial|Influencer|Media Sponsorship,49498.0|76567.35|185760.8|58234.74|23256.94,485,251970.79,490723.91,94.75
Conferences and seminars,In Kind|Philanthropy|Food Stalls|Philanthropy|Influencer,81838.86|48177.2|44458.62|73056.15|80212.49,2882,237380.85,378659.42,59.52
Entertainment and media events,Merchandise|Food Stalls|Financial|In Kind|In Kind,36351.29|41554.03|13253.09|6396.98|89747.3,32402,138879.85,180204.69,29.76
Community and Charity events,Financial|Merchandise|Media Sponsorship,108402.97|35996.0|75338.51,3099,147555.12,194921.64,32.1
Virtual event,Merchandise|Merchandise|In Kind|In Kind|Influencer,22737.23|11338.85|96085.99|60627.33|31796.01,1554,178391.87,239168.95,34.07
Community and Charity events,Food Stalls|Philanthropy,48570.12|37046.39,1907,73128.76,107243.21,46.65
Sports events,Philanthropy,83063.39,56744,55271.58,94298.52,70.61
Sports events,Food Stalls|Financial|Media Sponsorship,42965.14|199223.84|42323.87,92691,223299.3,420195.12,88.18
Conferences and seminars,Influencer|Merchandise|Financial|Philanthropy,39984.72|45422.36|89613.6|45652.87,532,177058.58,255028.29,44.04
Virtual event,Merchandise,7655.78,9494,6218.75,8689.57,39.73
Virtual event,In Kind|In Kind|Philanthropy,10228.1|62672.09|47093.17,9373,86686.69,136000.22,56.89
Virtual event,Financial,84040.36,7923,62601.42,68872.23,10.02
Conferences and seminars,Influencer|Food Stalls|Media Sponsorship|Influencer,46179.51|39102.47|2348.24|8455.79,148,81972.87,162398.51,98.11
Conferences and seminars,Financial,117806.65,560,82387.66,121583.59,47.57
Virtual event,Financial|Merchandise|Financial|Financial,102246.85|8380.72|178605.2|31754.99,6601,225377.16,429096.2,90.39
Conferences and seminars,Financial|Food Stalls|Financial|Merchandise,154100.96|37769.97|192548.07|20734.18,3686,256652.53,296410.11,15.49
Entertainment and media events,In Kind,41785.74,10882,28802.14,50908.08,76.75
Sports events,Influencer,64000.77,12381,45417.4,61960.78,36.43
Entertainment and media events,Media Sponsorship|Philanthropy|Influencer|Influencer|Philanthropy,21554.66|83007.5|97935.64|88598.04|81642.97,21202,288250.63,470750.52,63.31
Sports events,Philanthropy|In Kind|Influencer|Influencer,78016.64|67861.87|13571.49|18150.92,71255,116744.16,208657.09,78.73
Conferences and seminars,Influencer|In Kind|Merchandise|Financial|In Kind,96924.79|19065.26|22352.37|17056.29|65158.96,1820,189452.04,242460.4,27.98
Festivals and fairs,Philanthropy|Media Sponsorship|Media Sponsorship|Influencer,94356.19|11787.04|67047.71|47905.78,22074,167677.63,322168.01,92.14
Conferences and seminars,Financial|Influencer|Food Stalls,33749.88|51080.49|46580.86,1371,115894.38,206587.99,78.26
Sports events,Influencer|Philanthropy,76614.02|14680.61,81348,79678.82,128459.28,61.22
Festivals and fairs,Merchandise|Media Sponsorship|Financial|Media Sponsorship|In Kind,16298.93|34166.66|120697.58|82638.19|72950.23,13183,214356.52,370339.57,72.77
Community and Charity events,Media Sponsorship,83429.24,2488,68155.22,92327.51,35.47
Virtual event,Merchandise|Philanthropy|Media Sponsorship|In Kind|In Kind,26937.95|43305.07|51461.01|92945.31|33070.42,6981,154973.32,195705.4,26.28
Community and Charity events,Food Stalls|Media Sponsorship|Philanthropy|Influencer,703.75|74833.01|98010.85|23692.92,139,135734.39,155408.12,14.49
Conferences and seminars,Financial|Merchandise|In Kind,43692.07|38773.89|3113.31,4033,64725.14,97752.61,51.03
Community and Charity events,In Kind|Food Stalls|Media Sponsorship|Food Stalls,2429.03|7328.14|59948.53|22087.61,3455,74297.82,123616.76,66.38
Festivals and fairs,Influencer|Merchandise|Merchandise,76833.88|26669.75|4342.59,13291,74908.87,100252.77,33.83
Entertainment and media events,Influencer|Philanthropy|Merchandise,5442.6|98573.03|30913.3,23861,89153.61,126349.64,41.72
Community and Charity events,Food Stalls,7432.67,267,6049.62,9062.7,49.81
Sports events,In Kind|In Kind,34709.8|79702.7,63192,73146.7,108315.9,48.08
Festivals and fairs,Financial|Media Sponsorship|Influencer|Influencer,2760.14|49071.24|22251.2|37480.3,65485,73616.51,88824.43,20.66
Entertainment and media events,Philanthropy|Influencer|Financial|Merchandise|Influencer,85008.51|31039.9|186514.75|17834.07|83476.33,36651,345097.94,392535.52,13.75
Sports events,Media Sponsorship|Media Sponsorship|Merchandise|Media Sponsorship|Food Stalls,54315.22|87436.92|30950.64|55975.15|49529.94,65644,218488.39,294442.4,34.76
Conferences and seminars,Influencer|Financial,85261.84|92741.29,1832,137748.29,218439.66,58.58
Community and Charity events,Food Stalls|Merchandise|Food Stalls|Media Sponsorship|Financial,23245.66|22864.84|35500.12|41947.58|175052.54,2454,211769.35,387723.39,83.09
Festivals and fairs,Influencer|Food Stalls|In Kind|Financial,81266.81|40995.42|5205.14|123401.49,35842,152676.38,289349.45,89.52
Sports events,Merchandise|Merchandise|Food Stalls|Merchandise,22605.44|44690.55|5300.49|2932.76,62215,49700.33,60912.63,22.56
Virtual event,Media Sponsorship|Financial|In Kind|In Kind,45582.72|199235.4|73182.76|12991.39,3291,254207.32,285225.21,12.2
Conferences and seminars,Media Sponsorship|Financial|Merchandise|Philanthropy|Food Stalls,51765.08|63172.99|7151.2|84186.01|31237.61,2931,164230.13,232295.37,41.45
Community and Charity events,Influencer|Merchandise|Merchandise|Media Sponsorship|Merchandise,97473.77|3091.8|47862.21|68339.15|24665.84,3941,188323.15,339893.68,80.48
Conferences and seminars,In Kind|Media Sponsorship|In Kind|Influencer|Food Stalls,61836.65|86986.15|35174.44|6205.31|20945.23,774,161568.22,216387.43,33.93
Sports events,Merchandise|Financial|Influencer|Food Stalls,45194.96|190572.41|23377.84|18345.52,64593,200822.01,368976.91,83.73
Festivals and fairs,Philanthropy|Philanthropy,11861.46|95430.51,36938,69293.52,124000.62,78.95
Sports events,In Kind|In Kind,18791.78|14668.32,39558,22145.35,30606.47,38.21
Sports events,Merchandise,11604.57,25710,8194.68,12816.37,56.4
Entertainment and media events,Merchandise,18960.95,838,14428.95,26264.04,82.02
Virtual event,Influencer,44572.72,2161,29362.04,42066.29,43.27
Festivals and fairs,Food Stalls|Philanthropy|Influencer|Merchandise|Merchandise,42456.07|40376.38|16083.43|17040.12|16948.81,42971,86675.14,159095.49,83.55
Sports events,Food Stalls|Merchandise|Merchandise,2306.58|35423.95|12853.9,33353,40336.93,65725.36,62.94
Entertainment and media events,Media Sponsorship,67016.64,17989,55237.04,64515.76,16.8
Sports events,Philanthropy|Merchandise|Financial,69335.64|14235.09|120818.9,41134,162394.12,181646.71,11.86
Community and Charity events,Food Stalls|Media Sponsorship|Merchandise|Food Stalls,26109.51|65365.85|36196.72|34823.68,199,102968.37,129779.7,26.04
Virtual event,Philanthropy,85179.01,7306,74718.11,103787.48,38.91
Festivals and fairs,Media Sponsorship|Media Sponsorship|Food Stalls|In Kind,12708.8|38432.17|37884.14|31450.47,58189,100171.58,132110.1,31.88
Virtual event,In Kind|Philanthropy,91088.41|58306.22,6351,104931.15,126854.25,20.89
Virtual event,Merchandise|Merchandise|Financial,9223.08|24925.04|157285.04,948,171059.82,331050.42,93.53
Community and Charity events,In Kind|In Kind|Philanthropy,96981.12|70599.03|68909.61,2271,190036.86,305613.41,60.82
Virtual event,Philanthropy|Influencer|In Kind,31611.49|4523.84|36165.72,7683,43630.1,78465.63,79.84
Virtual event,Philanthropy|Media Sponsorship,59194.23|10167.92,6639,58984.86,110957.15,88.11
Sports events,Merchandise|Financial|Financial|Merchandise|Financial,23148.62|46757.13|56213.59|9619.14|183286.14,17602,257224.67,411193.57,59.86
Sports events,In Kind|Financial|Financial|Merchandise|Influencer,74598.36|59738.89|3011.16|26560.71|49712.92,98380,185477.83,213700.4,15.22
